dataset,metric,min,p10,p20,p50,p80,p90,p95,max
deepela_large_r1.csv,cosine,0.00403047369769693,0.102487065628419,0.154483157873825,0.286887761992115,0.4234840878524,0.485769782241705,0.540223648375462,0.807983478603125
deepela_large_r1.csv,euclidean,0.504766320307397,2.53992723610335,3.1222151121671,4.23331325557645,5.11735215351113,5.49342476760073,5.81362412048911,7.10848675083094
deepela_large_r1.csv,seuclidean,1.42510872247144,5.0998574578553,6.26752204984335,8.67339379942865,10.921579110543,12.1249727455566,13.3677429195159,145.373432461976
deepela_large_r1.csv,correlation,0.00403011755663496,0.100517766335749,0.152526282912691,0.284077902628923,0.419870814773774,0.481531498838966,0.538394149467402,0.810279079063918
tinytla.csv,cosine,8.57822843447487E-06,0.000297311291269509,0.000581230058859883,0.00234587456446517,0.00888899979364071,0.0194034788092812,0.0344037800008162,0.12029218255176
tinytla.csv,euclidean,0.0134050283454944,0.090669011442225,0.127406071034403,0.253788509237616,0.49312414657769,0.722994096892799,0.948925750832845,1.72724952595138
tinytla.csv,seuclidean,5.23664322929079,17.6262117726526,20.479307639689,27.6540460931892,41.1644982174889,52.1164797878263,63.3625730453289,572.728775233171
tinytla.csv,correlation,8.72169631627173E-06,0.000298376279355161,0.000584143504758816,0.00236799263045784,0.00903042251860791,0.0197580853333775,0.0350342528205702,0.12250208805068
transoptas_5pso.csv,cosine,0.00684436503070929,0.0759850519311187,0.118750373712626,0.268856603840843,0.579379878199497,0.786681950488908,0.946261061081428,1.56012174450802
transoptas_5pso.csv,euclidean,0.252529627733858,0.850077003253677,1.04503755597716,1.53407102625986,2.23566964050733,2.64221913001566,2.97819605472284,6.18789544201261
transoptas_5pso.csv,seuclidean,1.4376919601487,5.05456222709913,6.11633632010835,8.72847451547053,12.2968262493819,14.3600072018806,16.1034252363095,32.2138732668146
transoptas_5pso.csv,correlation,0.00679093004149323,0.0753169177793249,0.11830907754034,0.268564319502642,0.578697652668449,0.786070230620598,0.945813265041713,1.55964311037211
ela.csv,cosine,7.93624485229127E-06,0.00309727249632157,0.00869012345595839,0.0630068937887522,0.401511139334623,0.591221596589109,0.702414724424206,0.993309919845638
ela.csv,euclidean,11.6086815035619,1125.06004901334,4134.2963350001,132955.149234599,5668613.73190779,44615998.1488335,524252462.289363,81079777930.9141
ela.csv,seuclidean,1.84944020781748,5.32987859827238,6.4077830037464,9.43168120820875,14.1130885788418,16.8566724196916,18.9612186995323,88.2733416958466
ela.csv,correlation,7.93898255702086E-06,0.00311696846135716,0.00875356256698154,0.0638235044058179,0.411103235288909,0.606305058356332,0.718269400592434,1.00860957208163
doe2vec.csv,cosine,0.00799261804706353,0.44590750199083,0.589490805974025,0.882320180691662,1.16668983509384,1.31131906322865,1.43040265434259,1.8461216982739
doe2vec.csv,euclidean,0.556056768796705,3.55980660582998,4.04772204863717,5.09846014831401,6.35608708519094,7.22531284285226,8.01612724054714,12.4834637542346
doe2vec.csv,seuclidean,1.00489373440624,5.63538041269013,6.24380926905012,7.57723496608301,9.21644280716063,10.241671325232,11.2565035034839,16.4190871030313
doe2vec.csv,correlation,0.00816779569678439,0.441869019850883,0.583829766262019,0.874910632987715,1.16352726578608,1.31319170436516,1.42994471345633,1.84542539482619
