,instance_name,measure,percentile,Greedy,CPLEX,lb,MIS_ONLINE,REDUMIS
0,ela,cosine,p95,7805,0.0,8280.0,7807.0,7808.0
1,tinytla,seuclidean,p95,7463,7438.0,8280.0,,7467.0
2,transoptas_5pso,correlation,p20,963,,,,972.0
3,transoptas_5pso,seuclidean,p50,2318,,,,2332.0
4,deepela_large_r1,seuclidean,p80,5212,,,5216.0,5216.0
5,tinytla,correlation,p50,3449,,,3450.0,3453.0
6,transoptas_5pso,seuclidean,p95,6785,0.0,8280.0,,6790.0
7,ela,seuclidean,p90,0,,,8280.0,8280.0
8,tinytla,seuclidean,p50,2585,,,,2592.0
9,transoptas_5pso,correlation,p50,2869,,,,2896.0
10,doe2vec,correlation,p20,792,,,801.0,801.0
11,deepela_large_r1,seuclidean,p95,7013,0.0,8280.0,7040.0,7040.0
12,tinytla,correlation,p90,7098,,,7104.0,
13,doe2vec,seuclidean,p90,5575,,,5584.2,5586.0
14,tinytla,correlation,p80,5839,,,5873.6,5875.0
15,deepela_large_r1,cosine,p50,2504,,,2550.6,2040.8
16,ela,correlation,p95,7817,0.0,8280.0,7819.0,7820.0
17,deepela_large_r1,correlation,p95,5785,5862.0,5862.0,5862.0,5862.0
18,tinytla,cosine,p90,7092,,,7099.0,
19,deepela_large_r1,cosine,p90,5097,,,5123.0,5123.0
20,transoptas_5pso,seuclidean,p90,6071,,,,6087.0
21,doe2vec,cosine,p20,782,,,792.0,792.0
22,ela,seuclidean,p10,0,,,8280.0,8280.0
23,deepela_large_r1,seuclidean,p90,6164,,,6189.0,6189.0
24,doe2vec,seuclidean,p95,6581,0.0,8280.0,6583.4,6586.0
25,ela,cosine,p50,4581,,,4646.0,4647.0
26,tinytla,cosine,p95,7583,315.0,8258.0,7631.0,7631.0
27,tinytla,correlation,p95,7576,,,7631.8,7632.0
28,ela,correlation,p20,2078,,,2081.0,2081.0
29,transoptas_5pso,cosine,p20,966,,,,974.0
30,deepela_large_r1,seuclidean,p20,1301,,,1303.0,1303.0
31,transoptas_5pso,seuclidean,p20,692,,,,711.0
32,tinytla,seuclidean,p20,759,,,,763.0
33,deepela_large_r1,correlation,p80,4209,,,4246.0,2428.0
34,deepela_large_r1,seuclidean,p50,3153,,,3165.0,3165.0
35,ela,correlation,p50,4627,,,4648.8,4652.75
36,doe2vec,correlation,p95,3797,,,3905.8,3989.0
37,ela,cosine,p20,2067,,,2079.0,2079.0
38,tinytla,cosine,p80,5834,,,5865.8,5867.0
39,ela,seuclidean,p95,0,,,8280.0,8280.0
40,deepela_large_r1,cosine,p80,4225,,,4250.0,3400.0
41,transoptas_5pso,cosine,p90,6395,,,,6415.0
42,ela,seuclidean,p50,0,,,8280.0,8280.0
43,ela,seuclidean,p80,0,,,8280.0,8280.0
44,transoptas_5pso,correlation,p95,7066,7073.0,7073.0,,7073.0
45,tinytla,seuclidean,p90,6965,,,,6971.0
46,doe2vec,correlation,p80,2407,,,2536.4,2537.5
47,deepela_large_r1,cosine,p20,1034,,,1049.0,1049.0
48,deepela_large_r1,cosine,p95,5769,5841.0,5841.0,5841.0,5841.0
49,ela,correlation,p80,6947,,,6946.0,
50,tinytla,correlation,p20,1058,,,1066.2,1075.0
51,deepela_large_r1,correlation,p20,1045,,,1055.0,1055.0
52,doe2vec,correlation,p50,1022,,,1462.0,1462.0
53,doe2vec,cosine,p80,2315,,,2519.0,2516.75
54,ela,seuclidean,p20,0,,,8280.0,8280.0
55,doe2vec,cosine,p50,1161,,,1450.0,1450.0
56,doe2vec,seuclidean,p20,548,,,559.0,559.0
57,tinytla,cosine,p20,1054,,,1076.0,1077.0
58,transoptas_5pso,seuclidean,p80,4935,,,,4947.0
59,tinytla,cosine,p50,3448,,,3449.4,3455.0
60,doe2vec,seuclidean,p50,1737,,,1757.0,1757.0
61,transoptas_5pso,cosine,p50,2880,,,,2891.0
62,tinytla,seuclidean,p80,5922,,,,5937.0
63,doe2vec,seuclidean,p80,4164,,,4181.0,4181.0
64,deepela_large_r1,correlation,p50,2530,,,2552.2,2553.0
65,transoptas_5pso,correlation,p80,5410,,,,5425.0
66,transoptas_5pso,correlation,p90,6399,,,,6416.0
67,doe2vec,cosine,p90,3122,,,3243.6,3246.0
68,doe2vec,correlation,p90,3205,,,3299.6,3302.0
69,doe2vec,cosine,p95,3726,,,3847.8,3936.0
70,deepela_large_r1,correlation,p90,5076,,,5103.0,2268.0
71,ela,cosine,p80,6941,,,6940.0,
72,transoptas_5pso,cosine,p95,7064,7069.0,7069.0,,7069.0
73,transoptas_5pso,cosine,p80,5414,,,,5425.0
74,ela,cosine,p90,7476,,,7477.0,7478.0
75,ela,correlation,p90,7489,,,7490.0,7491.0
